gen,chromosome size,parameters,runtime,best_child_cost,best_gen
16,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.048625,988.7574860910502,0
17,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.050849,988.7574860910502,0
18,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.052901,988.7574860910502,0
19,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.054808,988.7574860910502,0
20,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.056682,988.7574860910502,0
21,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.058303,988.7574860910502,0
22,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.059911,988.7574860910502,0
23,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.061519,988.7574860910502,0
24,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.063025,988.7574860910502,0
25,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.064506,988.7574860910502,0
26,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.065889,988.7574860910502,0
27,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.067292,988.7574860910502,0
28,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.068266,988.7574860910502,0
29,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.069247,988.7574860910502,0
30,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.070225,988.7574860910502,0
31,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.071201,988.7574860910502,0
32,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.072198,988.7574860910502,0
33,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.073491,988.7574860910502,0
34,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.074961,988.7574860910502,0
35,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.076431,988.7574860910502,0
36,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.077902,988.7574860910502,0
37,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.079380,988.7574860910502,0
38,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.080838,988.7574860910502,0
39,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.082318,988.7574860910502,0
40,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.083778,988.7574860910502,0
41,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.085251,988.7574860910502,0
42,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.086744,988.7574860910502,0
43,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.088226,988.7574860910502,0
44,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.089671,988.7574860910502,0
45,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.091136,988.7574860910502,0
46,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.092601,988.7574860910502,0
47,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.094065,988.7574860910502,0
48,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.095519,988.7574860910502,0
49,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.096998,988.7574860910502,0
0,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.003235,976.4409463875784,0
1,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.006570,976.4409463875784,0
2,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.009852,976.4409463875784,0
3,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.013133,953.3403573875444,3
4,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.016361,953.3403573875444,3
5,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.019528,953.3403573875444,3
6,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.022714,953.3403573875444,3
7,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.025871,953.3403573875444,3
8,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.028942,953.3403573875444,3
9,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.032121,953.3403573875444,3
10,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.035197,953.3403573875444,3
11,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.038340,953.3403573875444,3
12,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.041411,953.3403573875444,3
13,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.044429,953.3403573875444,3
14,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.047480,953.3403573875444,3
15,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.050357,953.3403573875444,3
16,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.053118,953.3403573875444,3
17,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.055851,953.3403573875444,3
18,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.058123,953.3403573875444,3
19,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.060237,953.3403573875444,3
20,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.062092,953.3403573875444,3
21,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.063697,953.3403573875444,3
22,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.065152,953.3403573875444,3
23,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.066179,953.3403573875444,3
24,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.067208,953.3403573875444,3
25,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.068225,953.3403573875444,3
26,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.069250,953.3403573875444,3
27,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.070263,953.3403573875444,3
28,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.071291,953.3403573875444,3
29,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.072311,953.3403573875444,3
30,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.073333,953.3403573875444,3
31,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.074352,953.3403573875444,3
32,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.075374,953.3403573875444,3
33,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.076397,953.3403573875444,3
34,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.077418,953.3403573875444,3
35,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.078435,953.3403573875444,3
36,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.079458,953.3403573875444,3
37,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.080477,953.3403573875444,3
38,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.081499,953.3403573875444,3
39,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.082516,953.3403573875444,3
40,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.083539,953.3403573875444,3
41,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.084560,953.3403573875444,3
42,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.085595,953.3403573875444,3
43,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.087023,953.3403573875444,3
44,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.088324,953.3403573875444,3
45,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.089851,953.3403573875444,3
46,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.091397,953.3403573875444,3
47,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.092943,953.3403573875444,3
48,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.094482,953.3403573875444,3
49,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.096009,953.3403573875444,3
50,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.097552,953.3403573875444,3
51,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.099076,953.3403573875444,3
52,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 5}",0:00:00.100606,953.3403573875444,3
0,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.001541,951.5795083651974,0
1,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.003125,951.5795083651974,0
2,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.004702,951.5795083651974,0
3,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.006300,951.5795083651974,0
4,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.007861,951.5795083651974,0
5,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.009434,951.5795083651974,0
6,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.010976,951.5795083651974,0
7,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.012518,951.5795083651974,0
8,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.014107,951.5795083651974,0
9,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.015728,951.5795083651974,0
10,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.017311,951.5795083651974,0
11,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.018925,951.5795083651974,0
12,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.020525,951.5795083651974,0
13,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.022094,951.5795083651974,0
14,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.023677,951.5795083651974,0
15,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.025210,951.5795083651974,0
16,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.026776,951.5795083651974,0
17,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.028378,951.5795083651974,0
18,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.029973,951.5795083651974,0
19,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.031534,951.5795083651974,0
20,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.033076,951.5795083651974,0
21,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.034667,951.5795083651974,0
22,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.036241,951.5795083651974,0
23,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.037787,951.5795083651974,0
24,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.039328,951.5795083651974,0
25,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.040878,951.5795083651974,0
26,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.042401,951.5795083651974,0
27,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.043925,951.5795083651974,0
28,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.045418,951.5795083651974,0
29,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.046833,951.5795083651974,0
30,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.048058,951.5795083651974,0
31,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.049347,951.5795083651974,0
32,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.050540,951.5795083651974,0
33,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.051669,951.5795083651974,0
34,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.052699,951.5795083651974,0
35,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.053690,951.5795083651974,0
36,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.054603,951.5795083651974,0
37,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.055553,951.5795083651974,0
38,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.056427,951.5795083651974,0
39,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.057335,951.5795083651974,0
40,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.058258,951.5795083651974,0
41,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.059096,951.5795083651974,0
42,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.060124,951.5795083651974,0
43,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.061116,951.5795083651974,0
44,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.062048,951.5795083651974,0
45,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.063154,951.5795083651974,0
46,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.064360,951.5795083651974,0
47,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.065524,951.5795083651974,0
48,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.066647,951.5795083651974,0
49,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': False, 'elite size': 50}",0:00:00.067788,951.5795083651974,0
0,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': True, 'elite size': 10}",0:00:00.002791,964.1590155384656,0
1,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': True, 'elite size': 10}",0:00:00.005739,951.3199018204966,1
2,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': True, 'elite size': 10}",0:00:00.008757,951.3199018204966,1
3,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': True, 'elite size': 10}",0:00:00.011728,951.3199018204966,1
4,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': True, 'elite size': 10}",0:00:00.014720,951.3199018204966,1
5,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': True, 'elite size': 10}",0:00:00.017736,951.3199018204966,1
6,100,"{'prob of mutation': 0.001, 'mutation': 'inversion', 'elites': True, 'elite size': 10}",0:00:00.020680,951.3199018204966,1
