gen,chromosome size,parameters,runtime,best_child_cost,best_gen
0,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.001601,951.5795083651974,0
1,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.003291,951.5795083651974,0
2,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.005136,951.5795083651974,0
3,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.006728,951.5795083651974,0
4,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.008300,951.5795083651974,0
5,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.009893,951.5795083651974,0
6,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.011515,951.5795083651974,0
7,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.013135,951.5795083651974,0
8,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.014765,951.5795083651974,0
9,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.016397,951.5795083651974,0
10,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.017974,951.5795083651974,0
11,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.019549,951.5795083651974,0
12,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.021025,951.5795083651974,0
13,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.022580,951.5795083651974,0
14,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.024104,951.5795083651974,0
15,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.025656,951.5795083651974,0
16,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.027199,951.5795083651974,0
17,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.028747,951.5795083651974,0
18,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.030251,951.5795083651974,0
19,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.031794,951.5795083651974,0
20,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.033294,951.5795083651974,0
21,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.034813,951.5795083651974,0
22,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.036333,951.5795083651974,0
23,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.037859,951.5795083651974,0
24,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.039373,951.5795083651974,0
25,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.040832,951.5795083651974,0
26,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.042327,951.5795083651974,0
27,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.043767,951.5795083651974,0
28,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.045238,951.5795083651974,0
29,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.046709,951.5795083651974,0
30,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.048134,951.5795083651974,0
31,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.049658,951.5795083651974,0
32,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.051188,951.5795083651974,0
33,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.052651,951.5795083651974,0
34,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.054086,951.5795083651974,0
35,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.055427,951.5795083651974,0
36,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.056781,951.5795083651974,0
37,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.057913,951.5795083651974,0
38,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.058897,951.5795083651974,0
39,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.059693,951.5795083651974,0
40,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.060371,951.5795083651974,0
41,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.060949,951.5795083651974,0
42,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.061510,951.5795083651974,0
43,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.062069,951.5795083651974,0
44,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.062630,951.5795083651974,0
45,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.063187,951.5795083651974,0
46,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.063746,951.5795083651974,0
47,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.064301,951.5795083651974,0
48,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.064867,951.5795083651974,0
49,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': False, 'elite size': 50}",0:00:00.065422,951.5795083651974,0
0,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.002837,988.7574860910502,0
1,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.005863,988.7574860910502,0
2,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.008931,988.7574860910502,0
3,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.011954,988.7574860910502,0
4,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.014954,988.7574860910502,0
5,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.017945,988.7574860910502,0
6,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.020914,988.7574860910502,0
7,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.023887,988.7574860910502,0
8,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.026852,988.7574860910502,0
9,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.029751,988.7574860910502,0
10,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.032713,988.7574860910502,0
11,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.035616,988.7574860910502,0
12,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.038506,988.7574860910502,0
13,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.041242,988.7574860910502,0
14,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.043866,988.7574860910502,0
15,100,"{'prob of mutation': 0.001, 'mutation': 'swap', 'elites': True, 'elite size': 10}",0:00:00.046351,988.7574860910502,0
