algorithm,input_size,cost,runtime
brute_restart,9,127.36921150310235,0:00:00.327345
random,9,232.67205479102972,0:00:00.000019
greedy,9,132.40374097881056,0:00:00.000006
random_restart,9,136.03003731561375,0:00:00.145289
brute_force,6,121.78745287044687,0:00:00.000582
brute_restart,6,121.78745287044687,0:00:00.000537
random,6,167.07499887456584,0:00:00.000011
greedy,6,118.96891407553862,0:00:00.000003
random_restart,6,118.627821222467,0:00:00.119945
brute_force,12,68.03299405344693,0:12:29.884146
brute_restart,12,68.03299405344693,0:07:05.356485
random,12,139.42015610343114,0:00:00.000039
greedy,12,76.48568701852004,0:00:00.000008
random_restart,12,90.89967212349015,0:00:00.149046
brute_force,11,232.31589309650235,0:00:56.269898
brute_restart,11,232.31589309650235,0:00:39.123251
random,11,450.9612667635845,0:00:00.000044
greedy,11,291.3125205675747,0:00:00.000008
random_restart,11,257.8380767690005,0:00:00.139927
brute_force,10,101.95765964729144,0:00:04.735521
brute_restart,10,101.95765964729144,0:00:03.730140
random,10,193.17778943303196,0:00:00.000021
greedy,10,118.22304952196802,0:00:00.000006
random_restart,10,108.0382428944197,0:00:00.160803
brute_force,4,205.5557535142479,0:00:00.000018
brute_restart,4,205.5557535142479,0:00:00.000015
random,4,229.90935002289794,0:00:00.000007
greedy,4,215.0855330320905,0:00:00.000002
random_restart,4,206.66118399925062,0:00:00.081803
brute_force,5,123.59630257145234,0:00:00.000086
brute_restart,5,123.59630257145234,0:00:00.000085
random,5,158.1729180308417,0:00:00.000009
greedy,5,139.1335417499496,0:00:00.000004
random_restart,5,113.67313927589409,0:00:00.099792
brute_force,7,59.8329928904371,0:00:00.004613
brute_restart,7,59.8329928904371,0:00:00.004114
random,7,84.68536690954178,0:00:00.000010
greedy,7,72.95113870105892,0:00:00.000005
random_restart,7,52.08757966984286,0:00:00.108853
brute_force,8,298.536068051946,0:00:00.041878
brute_restart,8,298.536068051946,0:00:00.037382
random,8,505.30954487310777,0:00:00.000018
greedy,8,336.51145844005276,0:00:00.000005
random_restart,8,274.8374740070389,0:00:00.118882
brute_force,12,197.46679365610626,0:12:27.673339
brute_restart,12,197.46679365610626,0:07:20.172453
random,12,431.57167635713404,0:00:00.000026
greedy,12,225.84594484167252,0:00:00.000007
random_restart,12,208.70805401133842,0:00:00.118428
