algorithm,input_size,cost,runtime,tsp_file
random,6,158.53098486878673,0:00:00.000010,Random6.tsp
greedy,6,118.96891407553862,0:00:00.000004,Random6.tsp
random_restart,6,118.627821222467,0:00:00.127155,Random6.tsp
brute_force,6,121.78745287044687,0:00:00.000523,Random6.tsp
brute_restart,6,121.78745287044687,0:00:00.000557,Random6.tsp
random,6,183.9336819297858,0:00:00.000011,Random6.tsp
greedy,6,118.96891407553862,0:00:00.000003,Random6.tsp
random_restart,6,118.627821222467,0:00:00.128847,Random6.tsp
brute_force,2,7.261751666433728,0:00:00.000003,Random12.tsp
brute_restart,2,7.261751666433728,0:00:00.000002,Random12.tsp
random,2,14.523503332867456,0:00:00.000004,Random12.tsp
greedy,2,14.523503332867456,0:00:00.000001,Random12.tsp
random_restart,2,14.523503332867456,0:00:00.027203,Random12.tsp
brute_force,3,15.598446772167883,0:00:00.000006,Random12.tsp
brute_restart,3,15.598446772167883,0:00:00.000005,Random12.tsp
random,3,20.100503082134534,0:00:00.000004,Random12.tsp
greedy,3,20.100503082134534,0:00:00.000002,Random12.tsp
random_restart,3,20.100503082134534,0:00:00.052812,Random12.tsp
brute_force,4,34.708958455976905,0:00:00.000015,Random12.tsp
brute_restart,4,34.708958455976905,0:00:00.000015,Random12.tsp
random,4,59.67588983187411,0:00:00.000007,Random12.tsp
greedy,4,43.98550524329681,0:00:00.000003,Random12.tsp
random_restart,4,34.70895845597691,0:00:00.077568,Random12.tsp
brute_force,5,53.74486531896949,0:00:00.000079,Random12.tsp
brute_restart,5,53.74486531896949,0:00:00.000082,Random12.tsp
random,5,85.34601288720269,0:00:00.000007,Random12.tsp
greedy,5,58.1895702366179,0:00:00.000004,Random12.tsp
random_restart,5,44.46831853164959,0:00:00.087423,Random12.tsp
brute_force,6,63.47285513343756,0:00:00.000524,Random12.tsp
brute_restart,6,63.47285513343756,0:00:00.000552,Random12.tsp
random,6,75.87019738320558,0:00:00.000011,Random12.tsp
greedy,6,62.064202937037564,0:00:00.000004,Random12.tsp
random_restart,6,53.964031500222774,0:00:00.100110,Random12.tsp
brute_force,7,63.55966407506348,0:00:00.004079,Random12.tsp
brute_restart,7,63.55966407506348,0:00:00.003910,Random12.tsp
random,7,116.24183744030954,0:00:00.000010,Random12.tsp
greedy,7,62.15101187866348,0:00:00.000005,Random12.tsp
random_restart,7,56.21296036765484,0:00:00.107290,Random12.tsp
brute_force,2,12.02975565749632,0:00:00.000004,Random11.tsp
brute_restart,2,12.02975565749632,0:00:00.000003,Random11.tsp
random,2,24.05951131499264,0:00:00.000007,Random11.tsp
greedy,2,24.05951131499264,0:00:00.000002,Random11.tsp
random_restart,2,24.05951131499264,0:00:00.026477,Random11.tsp
brute_force,3,50.51722731405444,0:00:00.000006,Random11.tsp
brute_restart,3,50.51722731405444,0:00:00.000004,Random11.tsp
random,3,76.6940889678837,0:00:00.000005,Random11.tsp
greedy,3,76.69408896788372,0:00:00.000002,Random11.tsp
random_restart,3,62.266128626318235,0:00:00.051994,Random11.tsp
brute_force,4,64.72127992118689,0:00:00.000015,Random11.tsp
brute_restart,4,64.72127992118689,0:00:00.000016,Random11.tsp
random,4,112.1661766493225,0:00:00.000006,Random11.tsp
