algorithm,input_size,cost,runtime
brute_restart,8,122.90073067989336,0:00:00.032918
random,8,216.0205542137664,0:00:00.000023
greedy,8,125.20716369102868,0:00:00.000005
random_restart,8,122.39937038160693,0:00:00.124000
brute_force,6,121.78745287044687,0:00:00.000519
brute_restart,6,121.78745287044687,0:00:00.000574
random,6,185.79066598753806,0:00:00.000014
greedy,6,118.96891407553862,0:00:00.000003
random_restart,6,118.627821222467,0:00:00.118621
brute_force,8,64.28930720237605,0:00:00.040700
brute_restart,8,64.28930720237605,0:00:00.032169
random,8,87.00331660831046,0:00:00.000016
greedy,8,62.21000621172014,0:00:00.000005
random_restart,8,62.591096380664865,0:00:00.109653
brute_force,8,192.4749315944974,0:00:00.036432
brute_restart,8,192.4749315944974,0:00:00.033179
random,8,289.7005381519654,0:00:00.000015
greedy,8,247.60670136369276,0:00:00.000006
random_restart,8,184.58140484435845,0:00:00.127702
brute_force,8,85.76579654571638,0:00:00.036342
brute_restart,8,85.76579654571638,0:00:00.034437
random,8,121.21841648968376,0:00:00.000016
greedy,8,102.42006974640977,0:00:00.000005
random_restart,8,81.28342092069838,0:00:00.125484
brute_force,4,205.5557535142479,0:00:00.000020
brute_restart,4,205.5557535142479,0:00:00.000019
random,4,296.3531529919008,0:00:00.000012
greedy,4,215.0855330320905,0:00:00.000003
random_restart,4,206.66118399925062,0:00:00.088619
brute_force,5,123.59630257145234,0:00:00.000082
brute_restart,5,123.59630257145234,0:00:00.000082
random,5,184.4669691833403,0:00:00.000011
greedy,5,139.1335417499496,0:00:00.000004
random_restart,5,113.67313927589409,0:00:00.096790
brute_force,7,59.8329928904371,0:00:00.004129
brute_restart,7,59.8329928904371,0:00:00.004172
random,7,84.2947736823026,0:00:00.000023
greedy,7,72.95113870105892,0:00:00.000005
random_restart,7,54.435823202133435,0:00:00.109494
brute_force,8,298.536068051946,0:00:00.037430
brute_restart,8,298.536068051946,0:00:00.035438
random,8,473.3450828011917,0:00:00.000013
greedy,8,336.51145844005276,0:00:00.000005
random_restart,8,284.8552447003802,0:00:00.127735
brute_force,8,153.36071861143188,0:00:00.036780
brute_restart,8,153.36071861143188,0:00:00.032133
random,8,294.6832902400547,0:00:00.000018
greedy,8,167.42965696636375,0:00:00.000004
random_restart,8,140.3994744976761,0:00:00.100636
