algorithm,input_size,cost,runtime
brute_restart,8,122.90073067989336,0:00:00.038177
random,8,178.0541703774716,0:00:00.000025
greedy,8,125.20716369102868,0:00:00.000005
random_restart,8,127.8310422969241,0:00:00.134198
brute_force,6,121.78745287044687,0:00:00.000630
brute_restart,6,121.78745287044687,0:00:00.000649
random,6,179.8546569961254,0:00:00.000015
greedy,6,118.96891407553862,0:00:00.000004
random_restart,6,118.627821222467,0:00:00.125572
brute_force,8,64.28930720237605,0:00:00.044497
brute_restart,8,64.28930720237605,0:00:00.036348
random,8,122.10767863759449,0:00:00.000012
greedy,8,62.21000621172014,0:00:00.000005
random_restart,8,54.86330250431149,0:00:00.105912
brute_force,8,192.4749315944974,0:00:00.043715
brute_restart,8,192.4749315944974,0:00:00.038173
random,8,271.3052486237156,0:00:00.000032
greedy,8,247.60670136369276,0:00:00.000006
random_restart,8,188.3077985823681,0:00:00.141393
brute_force,8,85.76579654571638,0:00:00.044296
brute_restart,8,85.76579654571638,0:00:00.040428
random,8,129.31586834414952,0:00:00.000022
greedy,8,102.42006974640977,0:00:00.000006
random_restart,8,80.82511186576346,0:00:00.127844
brute_force,4,205.5557535142479,0:00:00.000018
brute_restart,4,205.5557535142479,0:00:00.000018
random,4,276.1265996011671,0:00:00.000009
greedy,4,215.0855330320905,0:00:00.000002
random_restart,4,206.66118399925062,0:00:00.086350
brute_force,5,123.59630257145234,0:00:00.000092
brute_restart,5,123.59630257145234,0:00:00.000098
random,5,177.11272575303374,0:00:00.000006
greedy,5,139.1335417499496,0:00:00.000003
random_restart,5,113.67313927589409,0:00:00.103337
brute_force,7,59.8329928904371,0:00:00.005034
brute_restart,7,59.8329928904371,0:00:00.004756
random,7,91.096919285515,0:00:00.000013
greedy,7,72.95113870105892,0:00:00.000005
random_restart,7,53.27058525024775,0:00:00.109811
brute_force,8,298.536068051946,0:00:00.043932
brute_restart,8,298.536068051946,0:00:00.040705
random,8,440.19530092194213,0:00:00.000016
greedy,8,336.51145844005276,0:00:00.000005
random_restart,8,277.73380571924184,0:00:00.130609
brute_force,8,153.36071861143188,0:00:00.044063
brute_restart,8,153.36071861143188,0:00:00.037214
random,8,279.31876746278107,0:00:00.000023
greedy,8,167.42965696636375,0:00:00.000005
random_restart,8,142.7956276669965,0:00:00.105828
