algorithm,input_size,cost,runtime
brute_restart,8,122.90073067989336,0:00:00.032987
random,8,186.50943270371783,0:00:00.000021
greedy,8,125.20716369102868,0:00:00.000005
random_restart,8,127.0712341427886,0:00:00.128010
brute_force,6,121.78745287044687,0:00:00.000564
brute_restart,6,121.78745287044687,0:00:00.000534
random,6,182.93146781955753,0:00:00.000010
greedy,6,118.96891407553862,0:00:00.000003
random_restart,6,118.627821222467,0:00:00.123418
brute_force,8,64.28930720237605,0:00:00.038441
brute_restart,8,64.28930720237605,0:00:00.032364
random,8,91.5516546929139,0:00:00.000012
greedy,8,62.21000621172014,0:00:00.000005
random_restart,8,56.2719547007115,0:00:00.099646
brute_force,8,192.4749315944974,0:00:00.038403
brute_restart,8,192.4749315944974,0:00:00.034048
random,8,431.9030486715508,0:00:00.000011
greedy,8,247.60670136369276,0:00:00.000005
random_restart,8,188.93528231164203,0:00:00.140209
brute_force,8,85.76579654571638,0:00:00.038191
brute_restart,8,85.76579654571638,0:00:00.035695
random,8,128.84971139092076,0:00:00.000011
greedy,8,102.42006974640977,0:00:00.000005
random_restart,8,78.16004383475571,0:00:00.126011
brute_force,4,205.5557535142479,0:00:00.000017
brute_restart,4,205.5557535142479,0:00:00.000016
random,4,229.90935002289794,0:00:00.000011
greedy,4,215.0855330320905,0:00:00.000004
random_restart,4,206.66118399925062,0:00:00.087428
brute_force,5,123.59630257145234,0:00:00.000075
brute_restart,5,123.59630257145234,0:00:00.000096
random,5,185.08652287780285,0:00:00.000008
greedy,5,139.1335417499496,0:00:00.000004
random_restart,5,113.67313927589409,0:00:00.102447
brute_force,7,59.8329928904371,0:00:00.004178
brute_restart,7,59.8329928904371,0:00:00.004119
random,7,86.44481353460559,0:00:00.000010
greedy,7,72.95113870105892,0:00:00.000005
random_restart,7,53.24945640853477,0:00:00.113300
brute_force,8,298.536068051946,0:00:00.038242
brute_restart,8,298.536068051946,0:00:00.036056
random,8,476.8282546994564,0:00:00.000020
greedy,8,336.51145844005276,0:00:00.000005
random_restart,8,281.90903981972093,0:00:00.135036
brute_force,8,153.36071861143188,0:00:00.038964
brute_restart,8,153.36071861143188,0:00:00.032982
random,8,272.4035305641219,0:00:00.000020
greedy,8,167.42965696636375,0:00:00.000004
random_restart,8,145.25213792552205,0:00:00.108931
