algorithm,input_size,cost,runtime
brute_restart,8,122.90073067989336,0:00:00.041463
random,8,232.06634818483454,0:00:00.000023
greedy,8,125.20716369102868,0:00:00.000005
random_restart,8,130.67675123939338,0:00:00.141974
brute_force,6,121.78745287044687,0:00:00.000517
brute_restart,6,121.78745287044687,0:00:00.000577
random,6,185.76044717794088,0:00:00.000018
greedy,6,118.96891407553862,0:00:00.000004
random_restart,6,118.627821222467,0:00:00.126598
brute_force,8,64.28930720237605,0:00:00.037569
brute_restart,8,64.28930720237605,0:00:00.034340
random,8,129.488276995352,0:00:00.000017
greedy,8,62.21000621172014,0:00:00.000005
random_restart,8,62.23329487729452,0:00:00.116066
brute_force,8,192.4749315944974,0:00:00.037520
brute_restart,8,192.4749315944974,0:00:00.036552
random,8,274.27290225673903,0:00:00.000011
greedy,8,247.60670136369276,0:00:00.000005
random_restart,8,186.48983521338408,0:00:00.137609
brute_force,8,85.76579654571638,0:00:00.037545
brute_restart,8,85.76579654571638,0:00:00.037914
random,8,143.07931765404436,0:00:00.000039
greedy,8,102.42006974640977,0:00:00.000005
random_restart,8,77.97656814645623,0:00:00.123881
brute_force,4,205.5557535142479,0:00:00.000016
brute_restart,4,205.5557535142479,0:00:00.000015
random,4,215.0855330320905,0:00:00.000008
greedy,4,215.0855330320905,0:00:00.000003
random_restart,4,206.66118399925062,0:00:00.086807
brute_force,5,123.59630257145234,0:00:00.000078
brute_restart,5,123.59630257145234,0:00:00.000087
random,5,171.431416147894,0:00:00.000015
greedy,5,139.1335417499496,0:00:00.000005
random_restart,5,113.67313927589409,0:00:00.104919
brute_force,7,59.8329928904371,0:00:00.004143
brute_restart,7,59.8329928904371,0:00:00.004323
random,7,94.40608673590701,0:00:00.000014
greedy,7,72.95113870105892,0:00:00.000005
random_restart,7,52.08757966984286,0:00:00.112405
brute_force,8,298.536068051946,0:00:00.037337
brute_restart,8,298.536068051946,0:00:00.038183
random,8,431.065369117145,0:00:00.000022
greedy,8,336.51145844005276,0:00:00.000005
random_restart,8,274.94739193673104,0:00:00.131958
brute_force,8,153.36071861143188,0:00:00.037962
brute_restart,8,153.36071861143188,0:00:00.035106
random,8,278.99569843914594,0:00:00.000015
greedy,8,167.42965696636375,0:00:00.000005
random_restart,8,145.12762242892495,0:00:00.109419
