algorithm,input_size,cost,runtime,tsp_file
brute_restart,2,7.610739790085114,0:00:00.000003,Random10.tsp
random,2,15.221479580170229,0:00:00.001006,Random10.tsp
greedy,2,15.221479580170229,0:00:00.000004,Random10.tsp
random_restart,2,15.221479580170229,0:00:00.097270,Random10.tsp
brute_force,3,22.871093447359673,0:00:00.000054,Random10.tsp
brute_restart,3,22.871093447359673,0:00:00.000024,Random10.tsp
random,3,27.738128095837304,0:00:00.000592,Random10.tsp
greedy,3,27.738128095837308,0:00:00.000010,Random10.tsp
random_restart,3,27.738128095837304,0:00:00.291644,Random10.tsp
brute_force,4,37.679869155508136,0:00:00.000054,Random10.tsp
brute_restart,4,37.679869155508136,0:00:00.000028,Random10.tsp
random,4,37.640995078403805,0:00:00.000019,Random10.tsp
greedy,4,44.92841495076206,0:00:00.000006,Random10.tsp
random_restart,4,44.928414950762054,0:00:00.700822,Random10.tsp
brute_force,5,64.67228102591811,0:00:00.000161,Random10.tsp
brute_restart,5,64.67228102591811,0:00:00.000147,Random10.tsp
random,5,95.13160801201127,0:00:00.000024,Random10.tsp
greedy,5,77.19739367418265,0:00:00.000007,Random10.tsp
random_restart,5,74.82164471535067,0:00:01.165881,Random10.tsp
brute_force,6,81.02460101737464,0:00:00.001059,Random10.tsp
brute_restart,6,81.02460101737464,0:00:00.001144,Random10.tsp
random,6,125.95663361146362,0:00:00.000063,Random10.tsp
greedy,6,88.63269670874155,0:00:00.000008,Random10.tsp
random_restart,6,85.85276158874792,0:00:01.207243,Random10.tsp
brute_force,7,81.3222136830488,0:00:00.033407,Random10.tsp
brute_restart,7,81.3222136830488,0:00:00.043268,Random10.tsp
random,7,122.96064928937326,0:00:00.000051,Random10.tsp
greedy,7,99.59269724234755,0:00:00.000009,Random10.tsp
random_restart,7,86.15037425442209,0:00:01.525496,Random10.tsp
brute_force,8,85.76579654571638,0:00:00.312818,Random10.tsp
brute_restart,8,85.76579654571638,0:00:01.396677,Random10.tsp
