algorithm,input_size,best_cost,runtime,tsp_file
greedy,11,167.29448446870975,0:00:00.000049,11NodeDFSBFS.tsp
greedy_insertion,11,160.20481191017146,0:00:00.000161,11NodeDFSBFS.tsp
greedy,30,544.451754160073,0:00:00.000157,Random30.tsp
greedy_insertion,30,551.3883653943909,0:00:00.001000,Random30.tsp
greedy,40,684.1204274771372,0:00:00.000242,Random40.tsp
greedy_insertion,40,659.6906376242646,0:00:00.001826,Random40.tsp
greedy,93,1278.3199530966326,0:00:00.000999,a280.tsp
greedy_insertion,93,1247.014387150833,0:00:00.015985,a280.tsp
