algorithm,input_size,cost,runtime,tsp_file
brute_restart,2,21.047512320599083,0:00:00.000002,11NodeDFSBFS.tsp
random,2,42.095024641198165,0:00:00.000012,11NodeDFSBFS.tsp
greedy,2,42.095024641198165,0:00:00.000003,11NodeDFSBFS.tsp
random_restart,2,42.095024641198165,0:00:00.027132,11NodeDFSBFS.tsp
brute_force,3,35.41105342572156,0:00:00.000007,11NodeDFSBFS.tsp
brute_restart,3,35.41105342572156,0:00:00.000006,11NodeDFSBFS.tsp
random,3,48.248712368536545,0:00:00.000007,11NodeDFSBFS.tsp
greedy,3,48.248712368536545,0:00:00.000003,11NodeDFSBFS.tsp
random_restart,3,48.248712368536545,0:00:00.048950,11NodeDFSBFS.tsp
brute_force,4,73.0816662696073,0:00:00.000017,11NodeDFSBFS.tsp
brute_restart,4,73.0816662696073,0:00:00.000016,11NodeDFSBFS.tsp
random,4,99.02970007864184,0:00:00.000012,11NodeDFSBFS.tsp
greedy,4,96.9735344281961,0:00:00.000004,11NodeDFSBFS.tsp
random_restart,4,90.82239715649874,0:00:00.079591,11NodeDFSBFS.tsp
brute_force,5,83.73067559451698,0:00:00.000082,11NodeDFSBFS.tsp
brute_restart,5,83.73067559451698,0:00:00.000085,11NodeDFSBFS.tsp
random,5,117.24316500995519,0:00:00.000008,11NodeDFSBFS.tsp
greedy,5,103.65800709587026,0:00:00.000004,11NodeDFSBFS.tsp
random_restart,5,96.56833453733196,0:00:00.106947,11NodeDFSBFS.tsp
brute_force,6,103.85975894751672,0:00:00.000549,11NodeDFSBFS.tsp
brute_restart,6,103.85975894751672,0:00:00.000543,11NodeDFSBFS.tsp
random,6,146.56600439514796,0:00:00.000007,11NodeDFSBFS.tsp
greedy,6,126.52091309233384,0:00:00.000005,11NodeDFSBFS.tsp
random_restart,6,116.6974178903317,0:00:00.134218,11NodeDFSBFS.tsp
brute_force,7,106.19309216829907,0:00:00.004280,11NodeDFSBFS.tsp
brute_restart,7,106.19309216829907,0:00:00.003956,11NodeDFSBFS.tsp
random,7,175.2052073143182,0:00:00.000012,11NodeDFSBFS.tsp
greedy,7,126.12042366965235,0:00:00.000006,11NodeDFSBFS.tsp
random_restart,7,119.03075111111406,0:00:00.168106,11NodeDFSBFS.tsp
brute_force,8,119.78585178523973,0:00:00.039217,11NodeDFSBFS.tsp
brute_restart,8,119.78585178523973,0:00:00.033545,11NodeDFSBFS.tsp
random,8,229.6429261336709,0:00:00.000023,11NodeDFSBFS.tsp
greedy,8,143.4804944034327,0:00:00.000007,11NodeDFSBFS.tsp
random_restart,8,132.6235107280547,0:00:00.210936,11NodeDFSBFS.tsp
brute_force,9,125.24681037859021,0:00:00.385770,11NodeDFSBFS.tsp
brute_restart,9,125.24681037859021,0:00:00.309725,11NodeDFSBFS.tsp
random,9,231.57779874635372,0:00:00.000022,11NodeDFSBFS.tsp
greedy,9,145.1741418799435,0:00:00.000007,11NodeDFSBFS.tsp
random_restart,9,138.0844693214052,0:00:00.246413,11NodeDFSBFS.tsp
